Date,Open,High,Low,Close,Volume
2024-01-01,99.8,101.2,98.8,100.0,1000000
2024-01-02,100.35,101.76,99.34,100.55,1000000
2024-01-03,100.9,102.31,99.89,101.1,1000000
2024-01-04,101.45,102.87,100.43,101.65,1000000
2024-01-05,102.0,103.43,100.97,102.2,1000000
2024-01-08,102.54,103.98,101.52,102.75,1000000
2024-01-09,103.09,104.54,102.06,103.3,1000000
2024-01-10,103.64,105.1,102.6,103.85,1000000
2024-01-11,104.19,105.65,103.15,104.4,1000000
2024-01-12,104.74,106.21,103.69,104.95,1000000
2024-01-15,105.29,106.77,104.23,105.5,1000000
2024-01-16,105.84,107.32,104.78,106.05,1000000
2024-01-17,106.39,107.88,105.32,106.6,1000000
2024-01-18,106.94,108.44,105.86,107.15,1000000
2024-01-19,107.48,108.99,106.41,107.7,1000000
2024-01-22,108.03,109.55,106.95,108.25,1000000
2024-01-23,108.58,110.11,107.49,108.8,1000000
2024-01-24,109.13,110.66,108.04,109.35,1000000
2024-01-25,109.68,111.22,108.58,109.9,1000000
2024-01-26,110.23,111.78,109.12,110.45,1000000
2024-01-29,110.78,112.33,109.67,111.0,1000000
2024-01-30,111.33,112.89,110.21,111.55,1000000
2024-01-31,111.88,113.45,110.75,112.1,1000000
2024-02-01,112.42,114.0,111.3,112.65,1000000
2024-02-02,112.97,114.56,111.84,113.2,1000000
2024-02-05,113.52,115.11,112.39,113.75,1000000
2024-02-06,114.07,115.67,112.93,114.3,1000000
2024-02-07,114.62,116.23,113.47,114.85,1000000
2024-02-08,115.17,116.78,114.02,115.4,1000000
2024-02-09,115.72,117.34,114.56,115.95,1000000
2024-02-12,116.27,117.9,115.1,116.5,1000000
2024-02-13,116.82,118.45,115.65,117.05,1000000
2024-02-14,117.36,119.01,116.19,117.6,1000000
2024-02-15,117.91,119.57,116.73,118.15,1000000
2024-02-16,118.46,120.12,117.28,118.7,1000000
2024-02-19,119.01,120.68,117.82,119.25,1000000
2024-02-20,119.56,121.24,118.36,119.8,1000000
2024-02-21,120.11,121.79,118.91,120.35,1000000
2024-02-22,120.66,122.35,119.45,120.9,1000000
2024-02-23,121.21,122.91,119.99,121.45,1000000
2024-02-26,121.76,123.46,120.54,122.0,1000000
2024-02-27,122.3,124.02,121.08,122.55,1000000
2024-02-28,122.85,124.58,121.62,123.1,1000000
2024-02-29,123.4,125.13,122.17,123.65,1000000
2024-03-01,123.95,125.69,122.71,124.2,1000000
2024-03-04,124.5,126.25,123.25,124.75,1000000
2024-03-05,125.05,126.8,123.8,125.3,1000000
2024-03-06,125.6,127.36,124.34,125.85,1000000
2024-03-07,126.15,127.92,124.88,126.4,1000000
2024-03-08,126.7,128.47,125.43,126.95,1000000
2024-03-11,127.25,129.03,125.97,127.5,1000000
2024-03-12,127.79,129.59,126.51,128.05,1000000
2024-03-13,128.34,130.14,127.06,128.6,1000000
2024-03-14,128.89,130.7,127.6,129.15,1000000
2024-03-15,129.44,131.26,128.14,129.7,1000000
2024-03-18,129.74,131.56,128.44,130.0,1000000
2024-03-19,128.14,129.94,126.86,128.4,1000000
2024-03-20,126.55,128.32,125.28,126.8,1000000
2024-03-21,124.95,126.7,123.7,125.2,1000000
2024-03-22,123.35,125.08,122.12,123.6,1000000
2024-03-25,121.76,123.46,120.54,122.0,1000000
2024-03-26,120.16,121.84,118.96,120.4,1000000
2024-03-27,118.56,120.23,117.37,118.8,1000000
2024-03-28,116.97,118.61,115.79,117.2,1000000
2024-03-29,115.37,116.99,114.21,115.6,1000000
